group_old,var_worker,var_firm,cov_worker_firm,N_obs,N_id,N_firmid
overall,2.00102475512869,1.70438245666736,0.311323148956721,2025565,579027,40987
1,1.97315507425975,1.71110249148962,0.313823277280736,101215,94217,35069
2,2.00486320840982,1.70101074403359,0.311765770081109,101690,94711,35079
3,1.98797203714969,1.71096971074559,0.303987217410251,102097,95072,35151
4,2.02223104070898,1.70508173082542,0.306365019286843,101177,94250,34981
5,2.02488224106682,1.71635572594266,0.323337451344916,100853,93925,35011
6,2.00777429529307,1.70740932942095,0.308384820378413,101035,94112,35025
7,1.988117115591,1.71679412192799,0.311528160741515,100971,94093,35050
8,1.98072193014283,1.71326368376922,0.310802265550713,101306,94327,35112
9,1.99172379885751,1.69405457123559,0.306002442633398,100821,93877,35023
10,1.99060609777891,1.69706196593225,0.301773396335504,101351,94284,35021
11,2.0028356015581,1.70554549740639,0.318262422637479,101799,94797,35109
12,2.01798858904025,1.700406968389,0.309952171851197,101528,94467,35043
13,2.00315813390389,1.6776814609901,0.323540354698827,101034,94239,35006
14,2.00890666911206,1.71367188401802,0.311981387255796,101281,94280,35012
15,2.00939647174364,1.70610457007084,0.313428524293692,101081,93930,34983
16,1.99816278335039,1.69382391148549,0.316976632184988,101231,94210,34999
17,1.99231475061154,1.70735998952658,0.310787416576423,101415,94467,35122
18,2.01240201380469,1.70873439822451,0.302938047109791,101437,94423,34990
19,2.01673845688223,1.69744804900694,0.307247907299988,100846,93980,34939
20,1.98678941186656,1.70379664364022,0.313777979018151,101397,94302,35042
