group_old,var_worker,var_firm,cov_worker_firm,N_obs,N_id,N_firmid
overall,2.01005249397215,1.76498103337834,0.325245397744619,2057880,587506,42544
1,1.98378449423985,1.76824066721027,0.328252616865754,102853,95743,35994
2,2.01273962885401,1.75890311840302,0.326576042278355,103331,96210,35991
3,1.99829499216865,1.77936860097131,0.31519735355914,103685,96548,36047
4,2.03091070667824,1.76466156755795,0.318313123125095,102706,95666,35866
5,2.03168690184084,1.78430883784477,0.333376743202408,102432,95385,35909
6,2.01150345071277,1.76228942671227,0.32304376359381,102576,95531,35919
7,1.99903452881656,1.77846278995636,0.324076537482121,102612,95606,35970
8,1.99117310151271,1.77170344965257,0.326347513709132,102965,95858,36030
9,1.99810369704555,1.75145671148015,0.318992292224317,102391,95335,35940
10,1.99989336289329,1.75718895968331,0.3143521207322,102960,95780,35897
11,2.01610619255167,1.77013721158979,0.332935350276327,103417,96310,36040
12,2.02691578154886,1.7647957703926,0.326514399221341,103224,96025,35981
13,2.00992588703157,1.73508573960364,0.337210016000711,102615,95692,35916
14,2.01153491580451,1.77279141646042,0.33140662839196,102924,95807,35926
15,2.0143831382143,1.76049293609226,0.327798216051896,102659,95399,35883
16,2.00923551258044,1.75135532601611,0.329334728326966,102836,95702,35911
17,2.00674812009927,1.76924831326907,0.322553357381871,103051,95984,36029
18,2.02218066818991,1.77324155690327,0.320537848476672,103096,95958,35931
19,2.0292910264382,1.75656165819638,0.320238925221608,102510,95521,35858
20,1.99786555903111,1.76928967024764,0.327993962934789,103037,95816,35971
