type_decomp,group_old,var_y,var_worker,var_firm,2*cov_worker_firm,var_resid
levels,overall,5.42438591175718,2.01005249397215,1.76498103337834,0.650490795489238,0.998861588917451
levels,1,5.37195218209278,1.98378449423985,1.76824066721027,0.656505233731508,0.963421786911153
levels,2,5.43143164650733,2.01273962885401,1.75890311840302,0.65315208455671,1.00663681469359
levels,3,5.41441923931489,1.99829499216865,1.77936860097131,0.63039470711828,1.00636093905665
levels,4,5.43658632928286,2.03091070667824,1.76466156755795,0.63662624625019,1.00438780879648
levels,5,5.48079784447282,2.03168690184084,1.78430883784477,0.666753486404817,0.998048618382402
levels,6,5.41161332186776,2.01150345071277,1.76228942671227,0.64608752718762,0.99173291725511
levels,7,5.42104346012897,1.99903452881656,1.77846278995636,0.648153074964242,0.995393066391822
levels,8,5.42247208992971,1.99117310151271,1.77170344965257,0.652695027418264,1.00690051134616
levels,9,5.39830813537241,1.99810369704555,1.75145671148015,0.637984584448634,1.01076314239808
levels,10,5.38243719815432,1.99989336289329,1.75718895968331,0.6287042414644,0.996650634113326
levels,11,5.45034200256398,2.01610619255167,1.77013721158979,0.665870700552653,0.998227897869871
levels,12,5.45498382255735,2.02691578154886,1.7647957703926,0.653028798442683,1.01024347217321
levels,13,5.42608797196726,2.00992588703157,1.73508573960364,0.674420032001422,1.00665631333062
levels,14,5.46048102323792,2.01153491580451,1.77279141646042,0.66281325678392,1.01334143418906
levels,15,5.43677557505504,2.0143831382143,1.76049293609226,0.655596432103791,1.00630306864468
levels,16,5.42686252316674,2.00923551258044,1.75135532601611,0.658669456653932,1.00760222791627
levels,17,5.40562721718076,2.00674812009927,1.76924831326907,0.645106714763743,0.984524069048677
levels,18,5.42241600197736,2.02218066818991,1.77324155690327,0.641075696953344,0.985918079930837
levels,19,5.41560948279516,2.0292910264382,1.75656165819638,0.640477850443216,0.989278947717375
levels,20,5.41785213783612,1.99786555903111,1.76928967024764,0.655987925869578,0.994708982687788
percent,overall,1,0.370558534490591,0.325378957561408,0.11991971184781,0.184142796100191
percent,1,1,0.369285583154058,0.329161654324594,0.122209805947258,0.17934295657409
percent,2,1,0.370572578253525,0.323837844766781,0.120254129493965,0.18533544748573
percent,3,1,0.369069128902826,0.328635172550189,0.116428868777078,0.185866829769906
percent,4,1,0.37356359003061,0.324590002011561,0.11710036550347,0.184746042454359
percent,5,1,0.370691815223529,0.325556404099848,0.121652632577429,0.182099148099194
percent,6,1,0.371701252671637,0.32564954698279,0.119389078406036,0.183260121939537
percent,7,1,0.36875456607555,0.328066506575109,0.119562419990048,0.183616507359293
percent,8,1,0.367207625689877,0.326733530439535,0.120368536083461,0.185690307787128
percent,9,1,0.37013516956414,0.324445486911673,0.118182320914258,0.187237022609928
percent,10,1,0.371559070597064,0.326467155118106,0.116806609778928,0.185167164505902
percent,11,1,0.369904529220962,0.324775438083899,0.122170443660125,0.183149589035014
percent,12,1,0.371571364367241,0.323519890763901,0.119712325404576,0.185196419464282
percent,13,1,0.370418964346954,0.319767344091655,0.124292130073392,0.185521561487999
percent,14,1,0.368380534103885,0.324658470364797,0.121383675533935,0.185577319997383
percent,15,1,0.370510629031052,0.323811956515133,0.120585524094795,0.18509189035902
percent,16,1,0.370238881859124,0.322719677998059,0.121372055002709,0.185669385140109
percent,17,1,0.371233168599049,0.327297507243165,0.119339845099454,0.182129479058333
percent,18,1,0.372929828226475,0.327020567263123,0.118226948415534,0.181822656094868
percent,19,1,0.374711476683289,0.324351610613134,0.118265146790578,0.182671765912999
percent,20,1,0.368756014044535,0.326566621833702,0.121078964353497,0.183598399768266
