Var1,Var2,Var3,Var4
overall,2057880,587506,42544
1,41420,40266,24750
2,41204,40056,24639
3,41347,40198,24740
4,41108,39964,24633
5,41183,39990,24637
6,41371,40181,24767
7,40966,39823,24528
8,41144,39941,24566
9,41214,40034,24680
10,41062,39924,24548
11,40992,39853,24624
12,41398,40211,24706
13,41350,40175,24695
14,41014,39828,24574
15,41457,40259,24800
16,41421,40203,24606
17,41182,40030,24579
18,41211,40067,24568
19,41001,39874,24714
20,41208,40024,24750
21,41173,40040,24608
22,41324,40171,24716
23,41319,40138,24633
24,41355,40188,24669
25,41233,40134,24701
26,40760,39591,24514
27,41333,40172,24658
28,41132,40000,24652
29,41190,40020,24721
30,40807,39726,24548
31,41218,40056,24655
32,40780,39675,24497
33,40921,39830,24675
34,41131,39932,24712
35,41004,39854,24553
36,41011,39891,24648
37,41111,39930,24615
38,41057,39888,24621
39,41115,39943,24631
40,41315,40114,24684
41,40991,39845,24525
42,41518,40371,24708
43,41152,39948,24684
44,40936,39780,24478
45,41357,40198,24671
46,40955,39842,24564
47,41097,39928,24585
48,41208,40078,24675
49,41203,40005,24576
50,40921,39792,24407
